week,display_name,team_name,matchup_id,wk_pf,total_pf,ppts,pfp,wins,losses,ties,streak,wk_win,wk_loss,standings,streak_num,wk_win_rank,wins_rank,loss_rank,wk_pf_rank,total_pf_rank,pfp_rank,streak_rank,Prev,Rk,Chg
13,gunnardillon,Dillon Panthers,5,118.14,1501.9,1638.24,0.917,6.0,7.0,0,1W,1.0,0.0,8,1.0,3.5,8.0,8.0,3.0,6.0,4.0,4.5,9.0,6.0,3.0
13,joeycrossover,Cole World,6,76.02,1458.7,1572.8,0.927,7.0,6.0,0,1L,0.0,1.0,5,-1.0,9.5,5.5,5.5,12.0,7.0,3.0,8.5,3.0,7.0,-4.0
13,kyledillon,Silence of the Lamb,1,129.44,1355.34,1523.38,0.89,7.0,6.0,0,3W,1.0,0.0,6,3.0,3.5,5.5,5.5,2.0,11.0,12.0,1.0,10.0,8.0,2.0
13,johnhallock,GFYS Athletic Club,3,94.9,1596.26,1755.26,0.909,5.0,8.0,0,1L,0.0,1.0,10,-1.0,9.5,10.0,10.0,10.0,3.0,9.0,8.5,5.5,9.0,-3.5
13,IssaWeelbie,Washington Weelbies,4,108.44,1512.22,1661.22,0.91,4.0,9.0,0,4L,0.0,1.0,11,-4.0,9.5,11.0,11.0,6.0,4.0,7.5,11.0,7.0,10.0,-3.0
13,spida1313,Chase’in Chips,3,104.54,1436.66,1603.6,0.896,6.0,7.0,0,2W,1.0,0.0,9,2.0,3.5,8.0,8.0,7.0,10.0,11.0,2.0,11.0,11.0,0.0
13,jetlifeallstar,Jet Life All-Stars,2,99.64,1273.72,1400.02,0.91,2.0,11.0,0,9L,0.0,1.0,12,-9.0,9.5,12.0,12.0,8.0,12.0,7.5,12.0,12.0,12.0,0.0
14,zexler,Kraft YAC & Cheese,6,123.76,1843.24,2041.72,0.903,10.0,4.0,0,1W,1.0,0.0,1,1.0,3.5,1.5,1.5,3.0,1.0,9.0,5.0,2.0,1.0,1.0
14,mbkaufmann,RFK’s Brain Worm,3,160.56,1812.3400000000001,1891.74,0.958,7.0,7.0,0,2W,1.0,0.0,6,2.0,3.5,7.0,7.0,1.0,2.0,1.0,2.5,1.0,2.0,-1.0
14,Steveng93,Emeka Egbegbu,2,103.74,1613.74,1765.5,0.914,10.0,4.0,0,1W,1.0,0.0,2,1.0,3.5,1.5,1.5,7.0,5.0,5.5,5.0,4.0,3.0,1.0
14,gunnardillon,Dillon Panthers,5,113.92,1615.82,1768.48,0.914,7.0,7.0,0,2W,1.0,0.0,7,2.0,3.5,7.0,7.0,5.0,4.0,5.5,2.5,6.0,4.0,2.0
14,jammer317,Rookie RB,5,111.58,1555.52,1666.3,0.934,9.0,5.0,0,1L,0.0,1.0,3,-1.0,9.5,3.0,3.0,6.0,8.0,2.0,8.0,3.0,5.0,-2.0
14,joeycrossover,Cole World,6,120.54,1579.24,1700.84,0.929,7.0,7.0,0,2L,0.0,1.0,8,-2.0,9.5,7.0,7.0,4.0,7.0,3.0,10.5,7.0,6.0,1.0
14,DoctaB,Bill’s Mafia,1,71.94,1516.74,1657.94,0.915,8.0,6.0,0,1L,0.0,1.0,4,-1.0,9.5,4.5,4.5,11.0,9.0,4.0,8.0,5.0,7.0,-2.0
14,johnhallock,GFYS Athletic Club,3,131.6,1727.8600000000001,1915.26,0.902,5.0,9.0,0,2L,0.0,1.0,10,-2.0,9.5,10.5,10.5,2.0,3.0,10.0,10.5,9.0,8.0,1.0
14,IssaWeelbie,Washington Weelbies,4,95.26,1607.48,1762.76,0.912,5.0,9.0,0,1W,1.0,0.0,11,1.0,3.5,10.5,10.5,9.0,6.0,7.0,5.0,10.0,9.0,1.0
14,kyledillon,Silence of the Lamb,1,75.0,1430.34,1600.88,0.893,8.0,6.0,0,4W,1.0,0.0,5,4.0,3.5,4.5,4.5,10.0,11.0,12.0,1.0,8.0,10.0,-2.0
14,spida1313,Chase’in Chips,4,67.56,1504.22,1678.76,0.896,6.0,8.0,0,1L,0.0,1.0,9,-1.0,9.5,9.0,9.0,12.0,10.0,11.0,8.0,11.0,11.0,0.0
14,jetlifeallstar,Jet Life All-Stars,2,98.46,1372.18,1515.38,0.906,2.0,12.0,0,10L,0.0,1.0,12,-10.0,9.5,12.0,12.0,8.0,12.0,8.0,12.0,12.0,12.0,0.0
